Country,CountryCode,Region,RegionCode,RegionCodeOld
Italy,IT,South,R451,ITR642
Jordan,JO,Ajlun,R452,JOR9
Jordan,JO,Amman,R453,JOR25
Jordan,JO,Aqaba,R454,JOR31
Jordan,JO,Balqa,R455,JOR64
Jordan,JO,Irbid,R456,JOR257
Jordan,JO,Jarash,R457,JOR268
Jordan,JO,Karak,R458,JOR300
Jordan,JO,Maan,R459,JOR346
Jordan,JO,Madaba,R460,JOR348
Jordan,JO,Mafraq,R461,JOR352
Jordan,JO,Tafiela,R462,JOR664
Jordan,JO,Zarqa,R463,JOR751
Japan,JP,Chubu,R464,JPR2086
Japan,JP,Chugoku,R465,JPR128
Japan,JP,Hokkaido,R466,JPR241
Japan,JP,Kansai,R467,JPR2039
Japan,JP,Kanto,R468,JPR2037
Japan,JP,Kyushu,R469,JPR323
Japan,JP,Okinawa,R470,JPR471
Japan,JP,Shikoku,R471,JPR605
Japan,JP,Tohoku,R472,JPR693
Kazakhstan,KK,Almaty,R475,KKR20
Kazakhstan,KK,Almaty city,R476,KKR21
Kazakhstan,KK,Akmola,R473,KKR32
Kazakhstan,KK,Aktobe,R474,KKR33
Kazakhstan,KK,Astana,R477,KKR44
Kazakhstan,KK,Atyrau,R478,KKR50
Kazakhstan,KK,Western Kazakhstan,R488,KKR68
Kazakhstan,KK,Mangystau,R484,KKR359
Kazakhstan,KK,Southern Kazakhstan,R487,KKR475
Kazakhstan,KK,Pavlodar,R486,KKR494
Kazakhstan,KK,Karagandy,R481,KKR512
Kazakhstan,KK,Kostanay,R482,KKR516
Kazakhstan,KK,Kyzylorda,R483,KKR522
Kazakhstan,KK,Northern Kazakhstan,R485,KKR615
Kazakhstan,KK,Eastern Kazakhstan,R479,KKR660
Kazakhstan,KK,Jambyl,R480,KKR2079
South Korea,KR,Busan,R489,KRR87
South Korea,KR,Chungcheongbuk-do,R490,KRR130
South Korea,KR,Chungcheongnam-do,R491,KRR131
South Korea,KR,Daegu,R492,KRR146
South Korea,KR,Daejeon,R493,KRR147
South Korea,KR,Gangwon-do,R494,KRR186
South Korea,KR,Gwangju,R495,KRR216
South Korea,KR,Gyeonggi-do,R496,KRR217
South Korea,KR,Gyeongsangbuk-do,R497,KRR218
South Korea,KR,Gyeongsangnam-do,R498,KRR219
South Korea,KR,Incheon,R499,KRR252
South Korea,KR,Jeju-do,R500,KRR274
South Korea,KR,Jeollabuk-do,R501,KRR275
South Korea,KR,Jeollanam-do,R502,KRR276
South Korea,KR,Seoul,R503,KRR594
South Korea,KR,Ulsan,R504,KRR697
Kenya,KY,Central,R512,KYR98
Kenya,KY,Coast,R505,KYR2235
Kenya,KY,Eastern,R506,KYR1
Kenya,KY,Nairobi,R507,KYR2236
Kenya,KY,North Eastern,R508,KYR440
Kenya,KY,Nyanza,R509,KYR2237
Kenya,KY,Rift Valley,R510,KYR2238
Kenya,KY,Western,R511,KYR2239
Latvia,LA,Kurzeme,R513,LAR319
Latvia,LA,Latgale,R514,LAR331
Latvia,LA,Pieriga,R515,LAR499
Latvia,LA,Riga,R516,LAR573
Latvia,LA,Vidzeme,R517,LAR711
Latvia,LA,Zemgale,R518,LAR753
Lithuania,LT,Alytus,R520,LTR22
Lithuania,LT,Kaunas,R521,LTR304
Lithuania,LT,Klaipeda,R522,LTR316
Lithuania,LT,Marijampole,R523,LTR362
Lithuania,LT,Paneveþys,R524,LTR490
Lithuania,LT,Ðiauliai,R519,LTR606
Lithuania,LT,Taurage,R525,LTR680
Lithuania,LT,Telðiai,R526,LTR683
Lithuania,LT,Utena,R527,LTR703
Lithuania,LT,Vilnius,R528,LTR713
Macedonia,MD,Eastern,R536,MDR1
Macedonia,MD,NorthEastern,R529,MDR2
Macedonia,MD,Pelagonia,R530,MDR3
Macedonia,MD,Polog,R531,MDR2504
Macedonia,MD,Skopje,R532,MDR5
Macedonia,MD,SouthEastern,R533,MDR6
Macedonia,MD,SouthWestern,R534,MDR7
Macedonia,MD,Vardar,R535,MDR8
Morocco,MO,Chaouia - Ouardigha,R538,MOR118
Morocco,MO,Doukkala - Abda,R539,MOR162
Morocco,MO,Fes - Boulemane,R540,MOR180
Morocco,MO,Gharb - Chrarda - Beni-Hsen,R541,MOR191
Morocco,MO,Grand Casablanca,R542,MOR200
Morocco,MO,Guelmim,R543,MOR212
Morocco,MO,Laayoune,R544,MOR327
Morocco,MO,Marrakech - Tensift - El-Haouz,R545,MOR363
Morocco,MO,Meknes - Tafilalt,R546,MOR373
Morocco,MO,Oriental,R537,MOR477
Morocco,MO,Oued Ed-Dahab-Lagouira,R547,MOR484
Morocco,MO,Rabat - Sale - Zemmour - Zaer,R548,MOR523
Morocco,MO,Sous - Massa - Draa,R549,MOR617
Morocco,MO,Tadla - Azilal,R550,MOR663
Morocco,MO,Tanger - Tetouan,R551,MOR674
Morocco,MO,Taza - Al-Hoceima - Taounate,R552,MOR681
Mexico,MX,Aguascalientes,R553,MXR6
Mexico,MX,Baja California,R554,MXR57
Mexico,MX,Baja California Sur,R555,MXR58
Mexico,MX,Campeche,R556,MXR90
Mexico,MX,Chiapas,R557,MXR123
Mexico,MX,Chihuahua,R558,MXR126
Mexico,MX,Coahuila de Zaragoza,R559,MXR133
Mexico,MX,Colima,R560,MXR135
Mexico,MX,Federal District of Mexico City,R561,MXR158
Mexico,MX,Durango,R562,MXR165
Mexico,MX,Guanajuato,R563,MXR206
Mexico,MX,Guerrero,R564,MXR213
Mexico,MX,Hidalgo,R565,MXR234
Mexico,MX,Jalisco,R566,MXR265
Mexico,MX,Mexico,R567,MXR377
Mexico,MX,Michoacan de Ocampo,R568,MXR380
Mexico,MX,Morelos,R569,MXR393
Mexico,MX,Nayarit,R570,MXR405
Mexico,MX,Nuevo Leon,R571,MXR462
Mexico,MX,Oaxaca,R572,MXR466
Mexico,MX,Puebla,R573,MXR510
Mexico,MX,Queretaro  Arteaga,R574,MXR519
Mexico,MX,Quintana Roo,R575,MXR520
Mexico,MX,San Luis Potosi,R576,MXR584
Mexico,MX,Sinaloa,R577,MXR612
Mexico,MX,Sonora,R578,MXR616
Mexico,MX,Tabasco,R579,MXR661
Mexico,MX,Tamaulipas,R580,MXR672
Mexico,MX,Tlaxcala,R581,MXR692
Mexico,MX,Veracruz de Ignacio de la Llave,R582,MXR707
Mexico,MX,Yucatan,R583,MXR743
Mexico,MX,Zacatecas,R584,MXR747
Malaysia,MY,Peninsular,R585,MYR496
Malaysia,MY,Sabah,R586,MYR580
Malaysia,MY,Sarawak,R587,MYR586
Nigeria,NG,North Central,R588,NGR435
Nigeria,NG,North East,R589,NGR439
Nigeria,NG,North West,R590,NGR442
Nigeria,NG,South East,R591,NGR624
Nigeria,NG,South South,R592,NGR627
Nigeria,NG,South West,R593,NGR628
Netherlands,NL,East,R594,NLR166
Netherlands,NL,North,R595,NLR433
Netherlands,NL,South,R596,NLR618
Netherlands,NL,West,R597,NLR724
Norway,NO,Agder and Rogaland,R598,NOR5
Norway,NO,Hedmark and Oppland,R599,NOR229
Norway,NO,Northern Norway,R600,NOR455
Norway,NO,Oslo and Akershus,R601,NOR480
Norway,NO,South Eastern Norway,R602,NOR625
Norway,NO,Trondelag,R603,NOR2075
Norway,NO,Western Norway,R604,NOR734
New Zealand,NZ,Auckland,R605,NZR51
New Zealand,NZ,Canterbury,R606,NZR93
New Zealand,NZ,Rest of North,R607,NZR565
New Zealand,NZ,Rest of South,R608,NZR566
New Zealand,NZ,Wellington,R609,NZR723
Cameroon,OO,Adamawa,R610,OOR2099
Cameroon,OO,Centre,R611,OOR2100
Cameroon,OO,East,R612,OOR176
Cameroon,OO,Far North,R613,OOR2101
Cameroon,OO,Littoral,R614,OOR2102
Cameroon,OO,North,R615,OOR419
Cameroon,OO,Northwest,R616,OOR2103
Cameroon,OO,West,R619,OOR485
Cameroon,OO,South,R617,OOR642
Cameroon,OO,Southwest,R618,OOR649
Philippines,PH,Autonomous in Muslim Mindanao,R620,PHR53
Philippines,PH,Cordillera Administrative,R621,PHR140
Philippines,PH,National Capital,R622,PHR402
Philippines,PH,Ilocos,R623,PHR534
Philippines,PH,Cagayan Valley,R624,PHR535
Philippines,PH,Central Luzon,R625,PHR536
Philippines,PH,Calabarzon,R626,PHR537
Philippines,PH,Mimaropa,R627,PHR538
Philippines,PH,Zamboanga Peninsula,R628,PHR539
Philippines,PH,Bicol,R629,PHR555
Philippines,PH,Western Visayas,R630,PHR556
Philippines,PH,Central Visayas,R631,PHR557
Philippines,PH,Eastern Visayas,R632,PHR558
Philippines,PH,Northern Mindanao,R633,PHR560
Philippines,PH,Davao,R634,PHR561
Philippines,PH,Soccsksargen,R635,PHR562
Philippines,PH,Caraga,R636,PHR563
Pakistan,PK,Azad Kashmir,R638,PKR55
Pakistan,PK,Balochistan,R639,PKR63
Pakistan,PK,FATA,R640,PKR178
Pakistan,PK,Islamabad,R641,PKR259
Pakistan,PK,North-West Frontier,R642,PKR398
Pakistan,PK,Northern Areas,R643,PKR449
Pakistan,PK,Punjab,R637,PKR511
Pakistan,PK,Sindh,R644,PKR613
Poland,PL,Central,R645,PLR104
Poland,PL,Eastern,R646,PLR173
Poland,PL,North-Western,R647,PLR459
Poland,PL,Northern,R648,PLR447
Poland,PL,South-Western,R649,PLR637
Poland,PL,Southern,R650,PLR634
Portugal,PT,Azores,R653,PTR3
Portugal,PT,Alentejo,R651,PTR16
Portugal,PT,Algarve,R652,PTR18
Portugal,PT,Centro,R654,PTR113
Portugal,PT,Lisboa,R655,PTR338
Portugal,PT,Medeira,R656,PTR370
Portugal,PT,Norte,R657,PTR432
Peru,PU,Costa Centro,R658,PUR141
Peru,PU,Costa Norte,R659,PUR142
Peru,PU,Costa Sur,R660,PUR143
Peru,PU,Lima Metropolitana,R661,PUR336
Peru,PU,Selva,R662,PUR592
Peru,PU,Sierra Centro,R663,PUR609
Peru,PU,Sierra Norte,R664,PUR610
Peru,PU,Sierra Sur,R665,PUR611
Costa Rica,RI,Brunca,R666,RIR2109
Costa Rica,RI,Central,R671,RIR98
Costa Rica,RI,Chorotega,R667,RIR2110
Costa Rica,RI,Huetar Altantica,R668,RIR2111
Costa Rica,RI,Huetar Norte,R669,RIR2112
Costa Rica,RI,Pacifico Central,R670,RIR2113
Romania,RO,Bucuresti-Ilfov,R672,ROR85
Romania,RO,Centre,R673,ROR115
Romania,RO,North-East,R674,ROR420
Romania,RO,North-West,R675,ROR421
Romania,RO,South-East,R676,ROR643
Romania,RO,South,R677,ROR644
Romania,RO,South-West,R678,ROR645
Romania,RO,West,R679,ROR709
Serbia,RS,Central Serbia,R680,RSR2245
Serbia,RS,Vojvodina,R681,RSR2246
Russia,RU,Central,R682,RUR108
Russia,RU,Far Eastern,R683,RUR150
Russia,RU,Southern,R687,RUR287
Russia,RU,Volga,R689,RUR509
Russia,RU,North Caucasian,R684,RUR2276
Russia,RU,Northwestern,R685,RUR596
Russia,RU,Siberian,R686,RUR607
Russia,RU,Ural,R688,RUR700
Saudi Arabia,SA,Al-Baha,R690,SAR14
Saudi Arabia,SA,Al-Jouf,R691,SAR19
Saudi Arabia,SA,Asir,R692,SAR42
Saudi Arabia,SA,Eastern,R693,SAR170
Saudi Arabia,SA,Hail,R694,SAR222
Saudi Arabia,SA,Jazan,R695,SAR273
Saudi Arabia,SA,Madinah,R696,SAR350
Saudi Arabia,SA,Makkah,R697,SAR356
Saudi Arabia,SA,Najran,R698,SAR399
Saudi Arabia,SA,Northern,R699,SAR448
Saudi Arabia,SA,Qasim,R700,SAR513
Saudi Arabia,SA,Riyadh,R701,SAR576
Saudi Arabia,SA,Tabuk,R702,SAR662
Sweden,SE,Commuter municipalities,R703,SER2091
Sweden,SE,Large cities,R704,SER2049
Sweden,SE,Metropolitan municipalities,R705,SER198
Sweden,SE,Other municipalities,R706,SER2070
Sweden,SE,Suburban municipalities,R707,SER2043
Slovakia,SK,Banska Bystrica,R708,SKR544
Slovakia,SK,Bratislava,R709,SKR545
Slovakia,SK,Kosice,R710,SKR546
Slovakia,SK,Nitra,R711,SKR547
Slovakia,SK,Presov,R712,SKR2055
Slovakia,SK,Trencin,R713,SKR2057
Slovakia,SK,Zilina,R714,SKR2059
Slovakia,SK,Trnava,R715,SKR551
Slovenia,SV,Gorenjska,R716,SVR195
Slovenia,SV,Goriska,R717,SVR196
Slovenia,SV,Jugovzhodna Slovenija,R718,SVR286
Slovenia,SV,Koroska,R719,SVR2041
Slovenia,SV,Notranjsko-kraska,R720,SVR2051
Slovenia,SV,Obalno-kraska,R721,SVR2053
Slovenia,SV,Osrednjeslovenska,R722,SVR481
Slovenia,SV,Podravska,R723,SVR502
Slovenia,SV,Pomurska,R724,SVR505
Slovenia,SV,Savinjska,R725,SVR588
Slovenia,SV,Spodnjeposavska,R726,SVR638
Slovenia,SV,Zasavska,R727,SVR752
Thailand,TH,Central,R728,THR98
Thailand,TH,Greater Bangkok,R729,THR202
Thailand,TH,North,R730,THR433
Thailand,TH,Northeast,R731,THR443
Thailand,TH,South,R732,THR618
Turkmenistan,TM,Ahal,R733,TMR7
Turkmenistan,TM,Ashgabat city,R734,TMR40
Turkmenistan,TM,Balkan,R735,TMR62
Turkmenistan,TM,Dashhowuz,R736,TMR152
Turkmenistan,TM,Lebap,R737,TMR332
Turkmenistan,TM,Mary,R738,TMR364
Turkey,TR,Aegean,R739,TRR4
Turkey,TR,Central Anatolia,R740,TRR100
Turkey,TR,Central-East Anatolia,R741,TRR107
Turkey,TR,East Black Sea,R742,TRR167
Turkey,TR,East Marmara,R743,TRR168
Turkey,TR,Istanbul,R744,TRR262
Turkey,TR,Mediterranean,R750,TRR371
Turkey,TR,North-East Anatolia,R745,TRR445
Turkey,TR,South-East Anatolia,R746,TRR630
Turkey,TR,West Anatolia,R747,TRR725
Turkey,TR,West Black Sea,R748,TRR727
Turkey,TR,West Marmara,R749,TRR729
Tunisia,TU,Centre-East,R751,TUR110
Tunisia,TU,Centre-West,R752,TUR111
Tunisia,TU,District Tunis,R753,TUR157
Tunisia,TU,North-East,R754,TUR422
Tunisia,TU,North-West,R755,TUR425
Tunisia,TU,South-East,R756,TUR646
Tunisia,TU,South-West,R757,TUR2073
Taiwan,TW,Changhua County,R758,TWR117
Taiwan,TW,Chiayi City,R759,TWR124
Taiwan,TW,Chiayi County,R760,TWR125
Taiwan,TW,Hsinchu City,R761,TWR244
Taiwan,TW,Hsinchu County,R762,TWR245
Taiwan,TW,Hualien County,R763,TWR246
Taiwan,TW,Kaohsiung City,R764,TWR298
Taiwan,TW,Keelung City,R765,TWR305
Taiwan,TW,Miaoli County,R766,TWR378
Taiwan,TW,Natou County,R767,TWR403
Taiwan,TW,Penghu County,R768,TWR495
Taiwan,TW,Pingtung County,R769,TWR500
Taiwan,TW,Taichung City,R770,TWR665
Taiwan,TW,Kinmen county,R771,
Taiwan,TW,Tainan City,R772,TWR667
Taiwan,TW,Lienchiang county,R773,
Taiwan,TW,Taipei City,R774,TWR669
Taiwan,TW,New Taipei city,R775,TWR670
Taiwan,TW,Taitung County,R776,TWR671
Taiwan,TW,Taoyuan County,R777,TWR675
Taiwan,TW,Yilan County,R778,TWR740
Taiwan,TW,Yunlin County,R779,TWR745
UAE,UA,Abu Dhabi,R780,UAR2
UAE,UA,Ajman,R781,UAR10
UAE,UA,Dubai,R782,UAR163
UAE,UA,Fujairah,R783,UAR183
UAE,UA,Ras Al Khaimah,R784,UAR528
UAE,UA,Sharjah,R785,UAR601
UAE,UA,Umm Al Quwain,R786,UAR698
Ukraine,UK,Autonomous Republic of Crimea,R787,UKR54
Ukraine,UK,Cherkasy,R788,UKR119
Ukraine,UK,Chernihiv,R789,UKR120
Ukraine,UK,Chernivtsi,R790,UKR121
Ukraine,UK,Dnipropetrovsk,R791,UKR160
Ukraine,UK,Donetsk,R792,UKR161
Ukraine,UK,Ivano-Frankivsk,R793,UKR264
Ukraine,UK,Kharkiv,R794,UKR309
Ukraine,UK,Kherson,R795,UKR310
Ukraine,UK,Khmelnytskiy,R796,UKR311
Ukraine,UK,Kirovohrad,R797,UKR314
Ukraine,UK,Kyiv city,R798,UKR321
Ukraine,UK,Kyiv,R799,UKR322
Ukraine,UK,Luhansk,R800,UKR343
Ukraine,UK,Lviv,R801,UKR345
Ukraine,UK,Mykolayiv,R802,UKR397
Ukraine,UK,Odesa,R803,UKR469
Ukraine,UK,Poltava,R804,UKR503
Ukraine,UK,Rivne,R805,UKR575
Ukraine,UK,Sevastopol city,R806,UKR595
Ukraine,UK,Sumy,R807,UKR659
Ukraine,UK,Ternopil,R808,UKR685
Ukraine,UK,Vinnytsya,R809,UKR714
Ukraine,UK,Volyn,R810,UKR717
Ukraine,UK,Zakarpattya,R811,UKR748
Ukraine,UK,Zaporizhzhya,R812,UKR750
Ukraine,UK,Zhytomyr,R813,UKR756
USA,US,Alabama,R814,USR12
USA,US,Alaska,R815,USR13
USA,US,Arizona,R816,USR37
USA,US,Arkansas,R817,USR38
USA,US,California,R818,USR89
USA,US,Colorado,R819,USR136
USA,US,Connecticut,R820,USR138
USA,US,Delaware,R821,USR153
USA,US,District of Columbia,R822,USR156
USA,US,Florida,R823,USR181
USA,US,Georgia,R824,USR190
USA,US,Hawaii,R825,USR227
USA,US,Idaho,R826,USR249
USA,US,Illinois,R827,USR251
USA,US,Indiana,R828,USR253
USA,US,Iowa,R829,USR256
USA,US,Kansas,R830,USR295
USA,US,Kentucky,R831,USR307
USA,US,Louisiana,R832,USR342
USA,US,Maine,R833,USR355
USA,US,Maryland,R834,USR365
USA,US,Massachusetts,R835,USR366
USA,US,Michigan,R836,USR379
USA,US,Minnesota,R837,USR384
USA,US,Mississippi,R838,USR387
USA,US,Missouri,R839,USR388
USA,US,Montana,R840,USR391
USA,US,Nebraska,R841,USR407
USA,US,Nevada,R842,USR408
USA,US,New Hampshire,R843,USR410
USA,US,New Jersey,R844,USR411
USA,US,New Mexico,R845,USR412
USA,US,New York,R846,USR414
USA,US,North Carolina,R847,USR434
USA,US,North Dakota,R848,USR438
USA,US,Ohio,R849,USR470
USA,US,Oklahoma,R850,USR472
USA,US,Oregon,R851,USR476
USA,US,Pennsylvania,R852,USR497
USA,US,Rhode Island,R853,USR571
USA,US,South Carolina,R854,USR620
USA,US,South Dakota,R855,USR623
USA,US,Tennessee,R856,USR684
USA,US,Texas,R857,USR686
USA,US,Utah,R858,USR702
USA,US,Vermont,R859,USR708
USA,US,Virginia,R860,USR715
USA,US,Washington,R861,USR722
USA,US,West Virginia,R862,USR731
USA,US,Wisconsin,R863,USR737
USA,US,Wyoming,R864,USR738
Uruguay,UY,Montevideo,R865,UYR2249
Uruguay,UY,The Interior,R866,UYR2250
Uzbekistan,UZ,Andijan,R867,UZR2253
Uzbekistan,UZ,Bukhara,R868,UZR2254
Uzbekistan,UZ,Djizak,R869,UZR2255
Uzbekistan,UZ,Ferghana,R870,UZR2256
Uzbekistan,UZ,Karakalpakstan,R871,UZR2257
Uzbekistan,UZ,Kashkadarya,R872,UZR2258
Uzbekistan,UZ,Khorezm,R873,UZR2259
Uzbekistan,UZ,Namangan,R874,UZR2260
Uzbekistan,UZ,Navoiy,R875,UZR2261
Uzbekistan,UZ,Samarkand,R876,UZR2262
Uzbekistan,UZ,Surkhandarya,R877,UZR2263
Uzbekistan,UZ,Syrdarya,R878,UZR2264
Uzbekistan,UZ,Tashkent,R879,UZR2265
Venezuela,VE,Andean,R880,VER2088
Venezuela,VE,Capital,R881,VER94
Venezuela,VE,Central,R882,VER98
Venezuela,VE,Central Western,R883,VER106
Venezuela,VE,Guayana,R884,VER209
Venezuela,VE,Insular,R885,VER255
Venezuela,VE,Llanos,R886,VER339
Venezuela,VE,North Eastern,R887,VER440
Venezuela,VE,Zulian,R888,VER758
Vietnam,VN,Central Highland,R889,VNR102
Vietnam,VN,Mekong River Delta,R890,VNR374
Vietnam,VN,North Central Coast,R891,VNR436
Vietnam,VN,North East,R892,VNR439
Vietnam,VN,North West,R893,VNR442
Vietnam,VN,Red River Delta,R894,VNR529
Vietnam,VN,South Central Coast,R895,VNR622
Vietnam,VN,South East,R896,VNR624
South Africa,ZA,Eastern Cape,R897,ZAR171
South Africa,ZA,Free State,R898,ZAR182
South Africa,ZA,Gauteng,R899,ZAR189
South Africa,ZA,KwaZulu-Natal,R900,ZAR320
South Africa,ZA,Limpopo,R901,ZAR337
South Africa,ZA,Mpumalanga,R902,ZAR395
South Africa,ZA,North West,R905,ZAR442
South Africa,ZA,Northern Cape,R903,ZAR450
South Africa,ZA,Western Cape,R904,ZAR733
